article_title,content,category,content_markdown
Бесплатный пробный период в МТС Музыке,"<p>Если вы пользуетесь подпиской впервые, она будет для вас бесплатной:</p><ul><li>30 дней, если вы выбрали ежемесячную оплату. Потом подписка продлится за&nbsp;169 руб/мес</li><li>7 дней, если вы&nbsp;—&nbsp;клиент МТС и выбрали ежедневную оплату. Потом подписка продлится за 7 руб/день.</li></ul>",5,"Если вы пользуетесь подпиской впервые, она будет для вас бесплатной:

  * 30 дней, если вы выбрали ежемесячную оплату. Потом подписка продлится за 169 руб/мес
  * 7 дней, если вы — клиент МТС и выбрали ежедневную оплату. Потом подписка продлится за 7 руб/день.

"
Преимущества подписки МТС Музыка,"<p>С подпиской вы получите все бесплатные возможности, а также:</p><ul><li>возможность сохранять любимые треки и слушать их офлайн в любом порядке</li><li>создание своих плейлистов</li><li>авторежим</li><li>распознавание музыки</li><li>музыка в высоком качестве без рекламы и ограничений</li><li>возможность слушать музыку без расхода трафика в сети МТС</li></ul>",5,"С подпиской вы получите все бесплатные возможности, а также:

  * возможность сохранять любимые треки и слушать их офлайн в любом порядке
  * создание своих плейлистов
  * авторежим
  * распознавание музыки
  * музыка в высоком качестве без рекламы и ограничений
  * возможность слушать музыку без расхода трафика в сети МТС

"
Как оплачивается подписка МТС Музыка,"<ul><li>у клиентов МТС списание происходит с лицевого счёта</li><li>клиенты других операторов могут оплатить подписку с банковской карты. Привяжите её в приложении МТС Музыка и списания будут происходить ежемесячно в дату подключения подписки</li></ul><p>Подписка продлевается автоматически, вам не нужно каждый раз оформлять её заново. Если не получилось оплатить подписку, свяжитесь с нами в приложении МТС Музыка &gt; Профиль &gt; Написать в чат.</p>",5,"  * у клиентов МТС списание происходит с лицевого счёта
  * клиенты других операторов могут оплатить подписку с банковской карты. Привяжите её в приложении МТС Музыка и списания будут происходить ежемесячно в дату подключения подписки

Подписка продлевается автоматически, вам не нужно каждый раз оформлять её
заново. Если не получилось оплатить подписку, свяжитесь с нами в приложении
МТС Музыка > Профиль > Написать в чат.

"
"Подписка МТС Музыка оплачена, но не работает","<ol><li>Выйдите из аккаунта МТС&nbsp;Музыка&nbsp;через раздел Профиль&nbsp;&gt; Выход</li><li>Войдите снова под своим номером</li><li>Проверьте, что подписка Активна в разделе Профиль</li></ol><p>Если рекомендации не помогли, свяжитесь с нами в приложении МТС Музыка &gt; Профиль &gt; Написать в чат</p>",5,"  1. Выйдите из аккаунта МТС Музыка через раздел Профиль > Выход
  2. Войдите снова под своим номером
  3. Проверьте, что подписка Активна в разделе Профиль

Если рекомендации не помогли, свяжитесь с нами в приложении МТС Музыка >
Профиль > Написать в чат

"
"Что делать, если при подключении подписки МТС Музыка возникла ошибка","<p>Почему подписка может не подключаться:</p><p>1. Версия приложения устарела. Обновите его до последней версии и попробуйте снова подключить подписку</p><p>2. На номере уже есть подписка с МТС Музыкой. Чтобы проверить, активна ли она, откройте приложение МТС Музыка и нажмите на значок профиля в правом верхнем углу</p><section class=""incut-v2""><div class=""incut-v2-content-wrapper""><figure class=""image""><img style=""aspect-ratio:500/317;"" src=""https://s3.cms.mts.ru/cms-files/6_2_1_67d1465ee5370e7c91e5752a.png"" width=""500"" height=""317""></figure></div></section><ul><li>если подписка активна, вы можете слушать музыку. Если нужна другая подписка, сначала отключите текущую</li><li>если она неактивна, подключите подписку на МТС Музыку. Для этого нажмите Подписка&nbsp;&gt;&nbsp;выберите подписку&nbsp;МТС Музыка&nbsp;&gt; Подключить</li></ul><p>3. На номере МТС может стоять запрет на подписки из-за тарифа или услуги. Его можно отключить с помощью команды&nbsp;<a href=""tel:*111*1984"">*111*1984#</a>&nbsp;</p><p>Если рекомендации не помогли, свяжитесь с нами в чате:</p><ul><li>в приложении МТС Музыка &gt; Профиль &gt; Написать в чат</li></ul>",5,"Почему подписка может не подключаться:

1\. Версия приложения устарела. Обновите его до последней версии и попробуйте
снова подключить подписку

2\. На номере уже есть подписка с МТС Музыкой. Чтобы проверить, активна ли
она, откройте приложение МТС Музыка и нажмите на значок профиля в правом
верхнем углу



  * если подписка активна, вы можете слушать музыку. Если нужна другая подписка, сначала отключите текущую
  * если она неактивна, подключите подписку на МТС Музыку. Для этого нажмите Подписка > выберите подписку МТС Музыка > Подключить

3\. На номере МТС может стоять запрет на подписки из-за тарифа или услуги. Его
можно отключить с помощью команды *111*1984#

Если рекомендации не помогли, свяжитесь с нами в чате:

  * в приложении МТС Музыка > Профиль > Написать в чат

"
Какие есть подписки на МТС Музыку,"<p>Есть несколько подписок с разными сроками оплаты:</p><ul><li>ежемесячная — 169 ₽/мес. Первые 30 дней бесплатно для новых пользователей</li><li>ежедневная — 7 ₽/день. Первую неделю бесплатно для новых пользователей</li><li>годовая — 720 ₽/год. Бесплатного периода нет</li></ul><p>Если у вас есть подписка МТС Premium — бесплатно.</p><h2 class=""ck-heading_heading2_medium""><strong>Как подключить подписку&nbsp;</strong></h2><ul><li>в приложении МТС Музыка &gt; Профиль &gt; Подписка &gt; Подключить</li><li>в приложении Мой МТС &gt; Каталог &gt; Музыка &gt; Подключить</li><li>на сайте МТС Музыка &gt; Профиль &gt; Подписка на МТС Музыку &gt; Подключить</li><li>в Личном кабинете МТС &gt; Мои услуги и сервисы &gt; Доступные &gt; МТС Музыка &gt; Подключить</li></ul><p>Клиенты МТС могут подключить подписку с помощью команд:</p><ul><li>ежедневная подписка — *501#</li><li>ежемесячная — *500#</li><li>годовая подписка — *701#</li></ul>",5,"Есть несколько подписок с разными сроками оплаты:

  * ежемесячная — 169 ₽/мес. Первые 30 дней бесплатно для новых пользователей
  * ежедневная — 7 ₽/день. Первую неделю бесплатно для новых пользователей
  * годовая — 720 ₽/год. Бесплатного периода нет

Если у вас есть подписка МТС Premium — бесплатно.

## **Как подключить подписку  **

  * в приложении МТС Музыка > Профиль > Подписка > Подключить
  * в приложении Мой МТС > Каталог > Музыка > Подключить
  * на сайте МТС Музыка > Профиль > Подписка на МТС Музыку > Подключить
  * в Личном кабинете МТС > Мои услуги и сервисы > Доступные > МТС Музыка > Подключить

Клиенты МТС могут подключить подписку с помощью команд:

  * ежедневная подписка — *501#
  * ежемесячная — *500#
  * годовая подписка — *701#

"
Что мне доступно без подписки МТС Музыка,"<p>Без подписки на МТС Музыку вы можете:</p><ul><li>слушать музыку в случайном порядке. Настроить очерёдность треков не получится</li><li>слушать персональный Плейлист дня и бесконечный поток музыки Мой Микс,&nbsp;который подстраивается под ваш вкус</li><li>слушать FM-радио, станции по жанрам, занятиям и настроению</li><li>просматривать тексты песен</li><li>распознавать музыку</li><li>слушать новые подборки музыки и плейлисты</li><li>перенести плейлисты из других сервисов</li><li>использовать эквалайзер, если это поддерживается устройством</li><li>слушать самые актуальные альбомы и треки в разделе Новые релизы</li></ul>",5,"Без подписки на МТС Музыку вы можете:

  * слушать музыку в случайном порядке. Настроить очерёдность треков не получится
  * слушать персональный Плейлист дня и бесконечный поток музыки Мой Микс, который подстраивается под ваш вкус
  * слушать FM-радио, станции по жанрам, занятиям и настроению
  * просматривать тексты песен
  * распознавать музыку
  * слушать новые подборки музыки и плейлисты
  * перенести плейлисты из других сервисов
  * использовать эквалайзер, если это поддерживается устройством
  * слушать самые актуальные альбомы и треки в разделе Новые релизы

"
Как отключить подписку на МТС Музыку,"<p>Есть несколько способов отключить подписку:</p><ul><li>через приложение МТС Музыка</li></ul><p>1. Откройте приложение и перейдите в Профиль</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/427;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T091117684_67d1466ee5370e7c91e5752c.png"" width=""500"" height=""427""></figure></section><p>2. Выберите пункт Подписка</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/427;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T091143175_67d1466ee5370e7c91e57530.png"" width=""500"" height=""427""></figure></section><p>3. Нажмите на Отключить подписку</p><section class=""incut""><figure class=""image""><img style=""aspect-ratio:500/851;"" src=""https://s3.cms.mts.ru/cms-files/iOS_HALF_2024_11_15T091155465_67d1466ee5370e7c91e5752e.png"" width=""500"" height=""851""></figure></section><ul><li>через приложение Мой МТС или <a href=""https://lk.mts.ru/"" target=""_blank"" rel=""noopener noreferrer"">в Личном кабинете МТС</a></li><li>в случае активированной Premium-подписки — через <a href=""https://premium.mts.ru/"" target=""_blank"" rel=""noopener noreferrer"">сайт МТС Premium</a></li></ul><p>Доступ к преимуществам подписки будет сохранён до конца оплаченного периода.</p><p>Если вы удалите приложение МТС Музыка и при этом не отмените подписку, деньги будут списываться по-прежнему. Если не получилось отключить подписку, &nbsp;свяжитесь с нами в приложении МТС Музыка &gt; Профиль &gt; Написать в чат</p>",5,"Есть несколько способов отключить подписку:

  * через приложение МТС Музыка

1\. Откройте приложение и перейдите в Профиль



2\. Выберите пункт Подписка



3\. Нажмите на Отключить подписку



  * через приложение Мой МТС или в Личном кабинете МТС
  * в случае активированной Premium-подписки — через сайт МТС Premium

Доступ к преимуществам подписки будет сохранён до конца оплаченного периода.

Если вы удалите приложение МТС Музыка и при этом не отмените подписку, деньги
будут списываться по-прежнему. Если не получилось отключить подписку,
свяжитесь с нами в приложении МТС Музыка > Профиль > Написать в чат

"
Как я могу перейти с посуточной подписки МТС Музыка на ежемесячную,"<p>Переход доступен только клиентам МТС&nbsp;</p><p>Проверьте, что на лицевом счёте МТС есть 169 рублей для ежемесячной оплаты</p><p>Способ 1. В приложении МТС Музыка выберите ежемесячную подписку. Ежедневная отключится автоматически</p><p>Способ 2. Отключите ежедневную подписку вручную и подключите ежемесячную. Подробнее в статье <a href=""https://support.mts.ru/mts_mts_muzyka/podpiska-na-mts-muziku/otklyuchenie-avtoprodleniya-podpiski"">Как отключить подписку</a></p>",5,"Переход доступен только клиентам МТС

Проверьте, что на лицевом счёте МТС есть 169 рублей для ежемесячной оплаты

Способ 1. В приложении МТС Музыка выберите ежемесячную подписку. Ежедневная
отключится автоматически

Способ 2. Отключите ежедневную подписку вручную и подключите ежемесячную.
Подробнее в статье Как отключить
подписку

"
Настройка работы в фоновом режиме на Xiaomi,"<p>Если в фоновом режиме приложение закрывается или зависает, чаще всего это из-за настроек энергосбережения на вашем телефоне. Выберите свою версию операционной системы и разверните инструкцию:</p><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Версии выше Android 12</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. Откройте настройки &gt; Приложения &gt; Все приложения &gt; МТС Музыка и там включите:</p><ul><li>Автозапуск и Полноэкранный режим</li><li>Отображение на экране блокировки</li><li>Отображать всплывающие окна, когда запущено в фоновом режиме</li><li>Постоянные уведомления</li></ul><p>2. В Контроле активности выберите Нет ограничений</p><p>3. В Сетевые подключения &gt; выберите Мобильный интернет и Wi-Fi &gt; нажмите ОК</p></div></div></div><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Android 12</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. Откройте Настройки &gt; Приложения &gt; Все приложения &gt; МТС Музыка</p><p>2. В настройках приложения МТС Музыка:</p><ul><li>трафик &gt; включите Мобильный интернет, Wi-Fi и Фоновое подключение</li><li>включите Автозапуск</li><li>разрешения приложений &gt; отключите Удалять разрешения и освобождать место</li><li>сетевые подключения &gt; выберите Мобильный интернет и Wi-Fi и нажмите ОК</li><li>контроль активностей &gt; выберите Нет ограничений</li></ul><p>3. Откройте Настройки &gt; Батарея &gt; нажмите на шестерёнку в правом верхнем углу &gt; Очищать память &gt; Никогда</p></div></div></div><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Android 10</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. Откройте Настройки &gt; Приложения &gt; Все приложения &gt; МТС Музыка</p><p>2. В настройках приложения МТС Музыка:</p><ul><li>трафик &gt; включите Мобильный интернет, Wi-Fi и Фоновое подключение</li><li>включите Автозапуск</li><li>сетевые подключения &gt; выберите Мобильный интернет и Wi-Fi</li><li>контроль активностей &gt; выберите Нет ограничений</li></ul><p>3. Откройте Настройки &gt; Питание и производительность &gt; нажмите на шестерёнку в правом верхнем углу &gt; Очищать память &gt; Никогда</p></div></div></div><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Android 9</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. Откройте Настройки &gt; Приложения &gt; Все приложения &gt; МТС Музыка</p><p>2. В настройках приложения МТС Музыка:</p><ul><li>включите Автозапуск</li><li>сетевые подключения &gt; выберите 3G/4G и Wi-Fi</li><li>контроль активностей &gt; выберите Нет ограничений</li></ul><p>3. Откройте Настройки &gt; Питание и производительность &gt; нажмите на шестерёнку в правом верхнем углу &gt; Очищать память &gt; Никогда</p></div></div></div><div class=""small-accordion""><div class=""small-accordion-header-wrapper""><div class=""small-accordion-header""><strong>Android 8</strong></div></div><div class=""small-accordion-content-wrapper""><div class=""small-accordion-content""><p>1. Откройте Настройки &gt; Приложения &gt; Все приложения &gt; МТС Музыка</p><p>2. В настройках приложения МТС Музыка:</p><ul><li>включите Автозапуск</li><li>сетевые подключения &gt; выберите 3G/4G и Wi-Fi</li></ul><p>контроль активностей &gt; выберите Нет ограничений</p></div></div></div>",5,"Если в фоновом режиме приложение закрывается или зависает, чаще всего это из-
за настроек энергосбережения на вашем телефоне. Выберите свою версию
операционной системы и разверните инструкцию:

**Версии выше Android 12**

1\. Откройте настройки > Приложения > Все приложения > МТС Музыка и там
включите:

  * Автозапуск и Полноэкранный режим
  * Отображение на экране блокировки
  * Отображать всплывающие окна, когда запущено в фоновом режиме
  * Постоянные уведомления

2\. В Контроле активности выберите Нет ограничений

3\. В Сетевые подключения > выберите Мобильный интернет и Wi-Fi > нажмите ОК

**Android 12**

1\. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2\. В настройках приложения МТС Музыка:

  * трафик > включите Мобильный интернет, Wi-Fi и Фоновое подключение
  * включите Автозапуск
  * разрешения приложений > отключите Удалять разрешения и освобождать место
  * сетевые подключения > выберите Мобильный интернет и Wi-Fi и нажмите ОК
  * контроль активностей > выберите Нет ограничений

3\. Откройте Настройки > Батарея > нажмите на шестерёнку в правом верхнем углу
> Очищать память > Никогда

**Android 10**

1\. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2\. В настройках приложения МТС Музыка:

  * трафик > включите Мобильный интернет, Wi-Fi и Фоновое подключение
  * включите Автозапуск
  * сетевые подключения > выберите Мобильный интернет и Wi-Fi
  * контроль активностей > выберите Нет ограничений

3\. Откройте Настройки > Питание и производительность > нажмите на шестерёнку
в правом верхнем углу > Очищать память > Никогда

**Android 9**

1\. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2\. В настройках приложения МТС Музыка:

  * включите Автозапуск
  * сетевые подключения > выберите 3G/4G и Wi-Fi
  * контроль активностей > выберите Нет ограничений

3\. Откройте Настройки > Питание и производительность > нажмите на шестерёнку
в правом верхнем углу > Очищать память > Никогда

**Android 8**

1\. Откройте Настройки > Приложения > Все приложения > МТС Музыка

2\. В настройках приложения МТС Музыка:

  * включите Автозапуск
  * сетевые подключения > выберите 3G/4G и Wi-Fi

контроль активностей > выберите Нет ограничений

"
